TransactionID,Fecha,Año,Mes,País,Canal,ClienteID,NombreCliente,TipoCliente,SegmentoCliente,TamañoCliente,SKU,Producto,Categoría,Comercial,Unidades,PrecioUnitario,CosteUnitario,ImporteVenta,CosteTotal,MargenBruto,MargenPct
2026-0001,2026-01-13,2026,1,Francia,Amazon,C0194,Sophie Robert,B2C,Consumer,Individual,US-002,Urban Runner,Running,Claire Dubois,8,98.62,52.38,788.96,419.0,369.96,46.89
2026-0002,2026-01-07,2026,1,Alemania,Ecommerce,C0093,Leon Becker,B2C,Consumer,Individual,US-004,Urban Trek,Outdoor,Lukas Weber,4,141.03,107.1,564.11,428.39,135.72,24.06
2026-0003,2026-01-19,2026,1,España,Retail Partners,C0493,Grupo Calzado Norte 60,Distribuidor,Distributor,Medium,US-004,Urban Trek,Outdoor,Laura Martín,216,102.92,96.53,22231.73,20851.53,1380.2,6.21
2026-0004,2026-01-07,2026,1,Francia,Ecommerce,C0166,Emma Michel,B2C,Consumer,Individual,US-006,Urban Eco,Sostenible,Pierre Laurent,9,103.7,60.65,933.26,545.82,387.44,41.51
2026-0005,2026-01-10,2026,1,Francia,Ecommerce,C0166,Emma Michel,B2C,Consumer,Individual,US-003,Urban Business,Formal,Claire Dubois,4,123.52,73.4,494.1,293.6,200.5,40.58
2026-0006,2026-01-08,2026,1,Francia,Retail Partners,C0348,Retail Lyon Footwear,Retail Partner,Retail Partner,Medium,US-006,Urban Eco,Sostenible,Pierre Laurent,21,97.37,57.5,2044.67,1207.54,837.13,40.94
2026-0007,2026-01-13,2026,1,Italia,Amazon,C0311,Marco Bruno,B2C,Consumer,Individual,US-001,Urban Classic,Casual,Luca Bianchi,3,85.86,45.23,257.59,135.69,121.9,47.32
2026-0008,2026-01-08,2026,1,Francia,Ecommerce,C0394,Mode Chaussure Bordeaux 71,Retail Partner,Retail Partner,Small,US-006,Urban Eco,Sostenible,Pierre Laurent,62,88.84,59.56,5508.05,3692.52,1815.53,32.96
2026-0009,2026-01-12,2026,1,Alemania,Tiendas Propias,C0010,Jonas Fischer,B2C,Consumer,Individual,US-001,Urban Classic,Casual,Anna Keller,8,77.77,42.31,622.17,338.47,283.7,45.6
2026-0010,2026-01-15,2026,1,Italia,Tiendas Propias,C0095,Martina Marino,B2C,Consumer,Individual,US-002,Urban Runner,Running,Marco Rossi,3,101.05,55.73,303.14,167.18,135.96,44.85
2026-0011,2026-01-16,2026,1,Alemania,Ecommerce,C0246,Anna Schmidt,B2C,Consumer,Individual,US-002,Urban Runner,Running,Lukas Weber,2,97.65,56.03,195.3,112.05,83.25,42.63
2026-0012,2026-01-11,2026,1,Alemania,Retail Partners,C0365,Cologne Shoe Market 81,Retail Partner,Retail Partner,Medium,US-007,Urban Premium,Premium,Lukas Weber,57,136.58,92.52,7784.97,5273.76,2511.21,32.26
2026-0013,2026-01-21,2026,1,Francia,Tiendas Propias,C0231,Manon Robert,B2C,Consumer,Individual,US-006,Urban Eco,Sostenible,Pierre Laurent,3,112.27,62.1,336.82,186.31,150.51,44.69
2026-0014,2026-01-14,2026,1,España,Ecommerce,C0207,Elena Fernández,B2C,Consumer,Individual,US-002,Urban Runner,Running,Laura Martín,11,96.71,54.33,1063.78,597.58,466.2,43.82
2026-0015,2026-01-28,2026,1,Alemania,Tiendas Propias,C0327,Berlin Footwear GmbH,Retail Partner,Retail Partner,Medium,US-003,Urban Business,Formal,Anna Keller,107,112.31,69.3,12016.76,7415.4,4601.36,38.29
2026-0016,2026-01-19,2026,1,España,Ecommerce,C0233,Pablo Sánchez,B2C,Consumer,Individual,US-002,Urban Runner,Running,Marta Sánchez,3,105.43,55.05,316.3,165.16,151.14,47.78
2026-0017,2026-01-25,2026,1,Italia,Amazon,C0098,Giovanni Greco,B2C,Consumer,Individual,US-004,Urban Trek,Outdoor,Giulia Romano,3,129.64,96.39,388.92,289.17,99.75,25.65
2026-0018,2026-01-04,2026,1,Alemania,Retail Partners,C0237,Max Schneider,B2C,Consumer,Individual,US-002,Urban Runner,Running,Lukas Weber,1,99.09,53.6,99.09,53.6,45.49,45.91
2026-0019,2026-01-02,2026,1,España,Ecommerce,C0222,Sergio Martín,B2C,Consumer,Individual,US-003,Urban Business,Formal,Marta Sánchez,6,123.4,65.33,740.39,391.96,348.43,47.06
2026-0020,2026-01-24,2026,1,Francia,Retail Partners,C0430,Retail Lyon Footwear 15,Retail Partner,Retail Partner,Small,US-001,Urban Classic,Casual,Sophie Martin,24,78.41,41.75,1881.73,1001.91,879.82,46.76
2026-0021,2026-02-13,2026,2,Italia,Amazon,C0109,Matteo Bruno,B2C,Consumer,Individual,US-002,Urban Runner,Running,Marco Rossi,3,96.35,54.73,289.04,164.19,124.85,43.19
2026-0022,2026-02-05,2026,2,España,Ecommerce,C0026,Miguel López,B2C,Consumer,Individual,US-006,Urban Eco,Sostenible,Laura Martín,6,114.07,62.32,684.4,373.94,310.46,45.36
2026-0023,2026-02-12,2026,2,Alemania,Ecommerce,C0031,Emma Schmidt,B2C,Consumer,Individual,US-007,Urban Premium,Premium,Thomas Schneider,3,148.2,85.49,444.6,256.48,188.12,42.31
2026-0024,2026-02-12,2026,2,Francia,Ecommerce,C0138,Claire Dubois,B2C,Consumer,Individual,US-003,Urban Business,Formal,Claire Dubois,8,112.6,68.73,900.82,549.82,351.0,38.96
2026-0025,2026-02-21,2026,2,Italia,Ecommerce,C0317,Giulia Romano,B2C,Consumer,Individual,US-001,Urban Classic,Casual,Luca Bianchi,7,87.31,43.73,611.17,306.1,305.07,49.92
2026-0026,2026-02-26,2026,2,Alemania,Retail Partners,C0390,Bavaria Footwear Group 24,Retail Partner,Retail Partner,Small,US-004,Urban Trek,Outdoor,Lukas Weber,94,105.62,101.06,9928.59,9499.61,428.98,4.32
